site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Kanzel - Sulden,Italy,116.92 km,Jul Sep Aug Jan Mar Jun Feb Dec,105,0,1,5,32,Sep:1 Jul:1 Aug:0 Jan:0 Feb:0 Mar:0 Dec:0 Jun:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.60865%2046.524933&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.60865,46.524933
La Bourgeoise,France,67.7 km,May Aug Sep Jul Oct,105,0,0,4,29,May:1 Aug:1 Oct:0 Sep:0 Jul:0 Jun:0 Apr:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.71945%2046.11487&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.71945,46.11487
Pic des Mouches,France,207.06 km,Aug Jul Jun May Sep Apr Oct Mar Jan Feb Dec Nov,105,2,24,57,83,Aug:2 Jul:1 May:1 Jun:0 Apr:0 Sep:0 Mar:0 Dec:0 Oct:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.64432%2043.53913&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.64432,43.53913
Biberg,Austria,172.03 km,May Apr,105,0,20,46,67,May:1 Apr:1 Aug:0 Nov:0 Jul:0 Sep:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.79572%2047.42038&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.79572,47.42038
Haglere,Switzerland,112.09 km,Oct Nov Sep Feb Aug Dec Apr May Mar Jul Jan,103,0,1,3,15,Oct:1 Nov:1 Feb:0 Sep:0 Dec:0 Apr:0 Aug:0 Mar:0 May:0 Jan:0 Jul:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.0433%2046.83598&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.0433,46.83598
Val Pelouse,France,100.57 km,Aug May Jul Jun Sep,103,0,1,10,43,Jun:1 Sep:1 Jul:1 May:0 Aug:0 Apr:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.16822%2045.41957&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.16822,45.41957
Piz Martegnas,Switzerland,56.85 km,Mar Feb Jan,102,0,0,1,9,Mar:2 Feb:1 Dec:1 Jan:0 Jul:0 Apr:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.53018%2046.57672&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.53018,46.57672
Mondseeberg,Austria,18.0 km,Apr Jul Jun May Sep Nov Aug Mar Feb Dec Jan Oct,102,0,0,0,0,Apr:2 Jul:1 May:1 Jun:1 Nov:1 Sep:0 Aug:0 Mar:0 Feb:0 Dec:0 Oct:0 Jan:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.357633%2047.868083&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.357633,47.868083
Pichlberg Re...,Italy,11.38 km,Dec Jan Feb Aug,101,0,0,0,1,Sep:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.4411%2046.6945&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.4411,46.6945
Lippekogel,Austria,35.42 km,May Jul Jun,101,0,0,0,2,Jun:1 May:1 Jul:1 Aug:0 Apr:0 Sep:0 Feb:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.5005%2046.72992&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.5005,46.72992
Buchkogel,Austria,142.29 km,May Apr Sep Jul Jun Mar Oct Aug Feb Nov Jan Dec,101,0,8,23,36,Apr:1 May:1 Mar:1 Jul:1 Sep:0 Aug:0 Jun:0 Oct:0 Nov:0 Jan:0 Feb:0 Dec:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.502583%2047.324&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.502583,47.324
Moosfluh,Switzerland,248.07 km,Aug Sep,100,11,56,77,91,Aug:1 Sep:0 Jul:0 Oct:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.05428%2046.39717&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.05428,46.39717
Jochberg,Germany,27.3 km,Aug Jun Jul,100,0,0,0,2,May:0 Aug:0 Jun:0 Jul:0 Apr:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.3715%2047.6268&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.3715,47.6268
Onkeljoch,Austria,25.89 km,Mar Feb Jun Aug Sep,100,0,1,3,14,Aug:1 Mar:1 Feb:0 Sep:0 Jul:0 Jun:0 Dec:0 Oct:0 Jan:0 Nov:0 May:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.793557%2047.325602&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.793557,47.325602
Spieljoch,Austria,103.86 km,Aug,100,0,1,3,14,Aug:1 Mar:1 Feb:0 Sep:0 Jul:0 Jun:0 Dec:0 Oct:0 Jan:0 Nov:0 May:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.79477%2047.33265&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.79477,47.33265
Gärtle,Switzerland,60.58 km,Apr Aug Oct May Nov Jul Jun Sep,99,0,0,2,31,Nov:1 Oct:1 Apr:1 Aug:1 Sep:0 Jun:0 May:0 Jul:0 Feb:0 Dec:0 Mar:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.9436%2046.82125&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.9436,46.82125
Alpe di Metz,Italy,159.85 km,Mar Apr,99,0,16,48,73,Apr:1 May:0 Mar:0 Nov:0 Feb:0 Jun:0 Sep:0 Jul:0 Aug:0 Jan:0 Oct:0 Dec:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.25572%2045.74855&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.25572,45.74855
Sire,France,60.52 km,Jul Oct Aug May Apr Sep Jun,99,0,3,13,48,May:1 Jul:0 Aug:0 Sep:0 Jun:0 Mar:0 Apr:0 Jan:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.96608%2045.6309&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.96608,45.6309
Le Sire,France,113.32 km,May Jul Sep Aug Jun Mar Apr Jan,99,0,3,13,48,May:1 Jul:0 Aug:0 Sep:0 Jun:0 Mar:0 Apr:0 Jan:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.965833%2045.6308&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.965833,45.6308
Gschriet,Austria,22.47 km,Jun Mar Jul Dec Aug Nov May Sep Apr Oct Feb,99,0,0,0,1,Jun:1 Jul:1 Sep:0 Aug:0 Nov:0 Oct:0 Apr:0 May:0 Mar:0 Dec:0 Feb:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.66445%2046.7638&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.66445,46.7638
Großer Priel,Austria,135.54 km,Oct Aug Sep Jun May Jul Nov,99,0,1,6,21,Oct:2 Aug:1 Sep:1 Jun:1 May:0 Nov:0 Jul:0 Apr:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.0698%2047.70532&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.0698,47.70532
Kerenzerberg,Switzerland,72.61 km,Jul Apr Aug Oct Jun May Mar Sep Nov,98,0,0,1,17,Jul:1 Apr:1 Aug:1 Jun:0 Oct:0 Mar:0 May:0 Nov:0 Sep:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.08367%2047.10925&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.08367,47.10925
Tätsch,Switzerland,282.63 km,Aug Jul Jun Sep,98,5,34,59,78,Aug:2 Jul:1 Sep:1 Jun:1 May:0 Dec:0 Oct:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.48218%2046.60053&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.48218,46.60053
Gornergrat,Switzerland,219.34 km,May Jun Apr,98,3,20,31,43,May:3 Jun:2 Apr:1 Aug:0 Sep:0 Mar:0 Jul:0 Nov:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.77972%2045.98218&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.77972,45.98218
Pohorje,Slovenia,76.01 km,Apr Aug Jun May Sep Jul,98,0,0,3,11,Jun:0 Aug:0 May:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.58%2046.5164&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.58,46.5164
Stein am Mandl,Austria,92.71 km,Aug Jul Jun Sep Oct May,98,0,0,5,12,Jun:1 Jul:1 Sep:1 Aug:1 Oct:0 Nov:0 May:0 Feb:0 Dec:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.363967%2047.491583&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.363967,47.491583
Schönleiten,Austria,101.78 km,Apr,98,0,1,8,27,Mar:0 Dec:0 Jan:0 May:0 Apr:0 Sep:0 Jun:0 Aug:0 Feb:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.68967%2047.401&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.68967,47.401
